nama_bahan,porsi_standar,energi_kcal,protein_g,lemak_g,karbohidrat_g,zat_besi_mg,kalsium_mg,kategori
Nasi Putih,1 centong (100g),130,2.4,0.2,28.6,0.2,25,Makanan Pokok
Nasi Merah,1 centong (100g),110,2.6,0.9,23.5,0.8,10,Makanan Pokok
Telur Ayam Rebus,1 butir (50g),77,6.3,5.3,0.6,1.2,25,Lauk Pauk
Telur Dadar,1 butir (55g),110,6.5,8.8,0.4,1.3,27,Lauk Pauk
Daging Sapi,1 potong (50g),125,13.0,7.5,0.0,1.4,6,Lauk Pauk
Ayam Goreng,1 potong (50g),145,12.5,9.0,1.5,0.8,12,Lauk Pauk
Ikan Kembung,1 ekor (75g),112,16.0,4.0,0.0,1.0,100,Lauk Pauk
Tahu Goreng,1 potong (50g),58,4.1,4.2,1.4,1.7,40,Lauk Pauk
Tempe Goreng,1 potong (50g),118,9.0,7.7,4.5,1.5,70,Lauk Pauk
Sayur Bayam,1 mangkuk (100g),23,2.9,0.4,3.6,3.5,166,Sayuran
Sayur Kangkung,1 mangkuk (100g),19,2.6,0.2,3.1,2.5,67,Sayuran
Sayur Sop Bening,1 mangkuk (150g),45,1.5,1.0,7.5,0.7,30,Sayuran
Buah Pisang,1 buah (100g),89,1.1,0.3,22.8,0.3,5,Buah
Buah Jeruk,1 buah (100g),47,0.9,0.1,11.8,0.1,40,Buah
Susu Ibu Hamil,1 gelas (200ml),180,8.0,4.5,26.0,6.0,400,Minuman Nutrisi
