nama_bahan,porsi_standar,energi_kcal,protein_g,lemak_g,karbohidrat_g,zat_besi_mg,kalsium_mg,kategori,catatan_ibu_hamil
Nasi Putih,1 centong (100g),130,2.4,0.2,28.6,0.2,25,Makanan Pokok,"Aman, konsumsi seimbang"
Nasi Putih (Porsi Kecil),1/2 porsi,65.0,1.2,0.1,14.3,0.1,12.5,Makanan Pokok,"Aman, konsumsi seimbang"
Nasi Putih (Porsi Besar),1.5 porsi,195.0,3.6,0.3,42.9,0.3,37.5,Makanan Pokok,"Aman, konsumsi seimbang"
Nasi Putih (1 Piring / Mangkok),1 piring,156.0,2.9,0.2,34.3,0.2,30.0,Makanan Pokok,"Aman, konsumsi seimbang"
Nasi Putih Olahan Spesial,1 porsi spesial,169.0,3.1,0.3,37.2,0.3,32.5,Makanan Pokok,"Aman, konsumsi seimbang"
Nasi Putih Porsi Cemilan,1 potong kecil,39.0,0.7,0.1,8.6,0.1,7.5,Makanan Pokok,"Aman, konsumsi seimbang"
Nasi Merah,1 centong (100g),110,2.6,0.9,23.5,0.8,10,Makanan Pokok,"Sangat bagus, tinggi serat & cegah diabetes gestasional"
Nasi Merah (Porsi Kecil),1/2 porsi,55.0,1.3,0.5,11.8,0.4,5.0,Makanan Pokok,"Sangat bagus, tinggi serat & cegah diabetes gestasional"
Nasi Merah (Porsi Besar),1.5 porsi,165.0,3.9,1.4,35.2,1.2,15.0,Makanan Pokok,"Sangat bagus, tinggi serat & cegah diabetes gestasional"
Nasi Merah (1 Piring / Mangkok),1 piring,132.0,3.1,1.1,28.2,1.0,12.0,Makanan Pokok,"Sangat bagus, tinggi serat & cegah diabetes gestasional"
Nasi Merah Olahan Spesial,1 porsi spesial,143.0,3.4,1.2,30.6,1.0,13.0,Makanan Pokok,"Sangat bagus, tinggi serat & cegah diabetes gestasional"
Nasi Merah Porsi Cemilan,1 potong kecil,33.0,0.8,0.3,7.0,0.2,3.0,Makanan Pokok,"Sangat bagus, tinggi serat & cegah diabetes gestasional"
Nasi Hitam,1 centong (100g),105,2.8,0.7,22.0,1.2,12,Makanan Pokok,Tinggi antioksidan & zat besi
Nasi Hitam (Porsi Kecil),1/2 porsi,52.5,1.4,0.3,11.0,0.6,6.0,Makanan Pokok,Tinggi antioksidan & zat besi
Nasi Hitam (Porsi Besar),1.5 porsi,157.5,4.2,1.0,33.0,1.8,18.0,Makanan Pokok,Tinggi antioksidan & zat besi
Nasi Hitam (1 Piring / Mangkok),1 piring,126.0,3.4,0.8,26.4,1.4,14.4,Makanan Pokok,Tinggi antioksidan & zat besi
Nasi Hitam Olahan Spesial,1 porsi spesial,136.5,3.6,0.9,28.6,1.6,15.6,Makanan Pokok,Tinggi antioksidan & zat besi
Nasi Hitam Porsi Cemilan,1 potong kecil,31.5,0.8,0.2,6.6,0.4,3.6,Makanan Pokok,Tinggi antioksidan & zat besi
Nasi Jagung,1 porsi (100g),120,2.2,0.5,26.0,0.6,18,Makanan Pokok,Bagus untuk variasi karbohidrat
Nasi Jagung (Porsi Kecil),1/2 porsi,60.0,1.1,0.2,13.0,0.3,9.0,Makanan Pokok,Bagus untuk variasi karbohidrat
Nasi Jagung (Porsi Besar),1.5 porsi,180.0,3.3,0.8,39.0,0.9,27.0,Makanan Pokok,Bagus untuk variasi karbohidrat
Nasi Jagung (1 Piring / Mangkok),1 piring,144.0,2.6,0.6,31.2,0.7,21.6,Makanan Pokok,Bagus untuk variasi karbohidrat
Nasi Jagung Olahan Spesial,1 porsi spesial,156.0,2.9,0.7,33.8,0.8,23.4,Makanan Pokok,Bagus untuk variasi karbohidrat
Nasi Jagung Porsi Cemilan,1 potong kecil,36.0,0.7,0.1,7.8,0.2,5.4,Makanan Pokok,Bagus untuk variasi karbohidrat
Nasi Uduk,1 porsi (150g),260,4.5,9.2,38.0,0.6,30,Makanan Pokok,Kalori lebih tinggi karena santan
Nasi Uduk (Porsi Kecil),1/2 porsi,130.0,2.2,4.6,19.0,0.3,15.0,Makanan Pokok,Kalori lebih tinggi karena santan
Nasi Uduk (Porsi Besar),1.5 porsi,390.0,6.8,13.8,57.0,0.9,45.0,Makanan Pokok,Kalori lebih tinggi karena santan
Nasi Uduk (1 Piring / Mangkok),1 piring,312.0,5.4,11.0,45.6,0.7,36.0,Makanan Pokok,Kalori lebih tinggi karena santan
Nasi Uduk Olahan Spesial,1 porsi spesial,338.0,5.9,12.0,49.4,0.8,39.0,Makanan Pokok,Kalori lebih tinggi karena santan
Nasi Uduk Porsi Cemilan,1 potong kecil,78.0,1.3,2.8,11.4,0.2,9.0,Makanan Pokok,Kalori lebih tinggi karena santan
Nasi Kuning,1 porsi (150g),250,4.2,8.5,37.0,0.7,28,Makanan Pokok,Kunyit baik sebagai antiinflamasi alami
Nasi Kuning (Porsi Kecil),1/2 porsi,125.0,2.1,4.2,18.5,0.3,14.0,Makanan Pokok,Kunyit baik sebagai antiinflamasi alami
Nasi Kuning (Porsi Besar),1.5 porsi,375.0,6.3,12.8,55.5,1.0,42.0,Makanan Pokok,Kunyit baik sebagai antiinflamasi alami
Nasi Kuning (1 Piring / Mangkok),1 piring,300.0,5.0,10.2,44.4,0.8,33.6,Makanan Pokok,Kunyit baik sebagai antiinflamasi alami
Nasi Kuning Olahan Spesial,1 porsi spesial,325.0,5.5,11.1,48.1,0.9,36.4,Makanan Pokok,Kunyit baik sebagai antiinflamasi alami
Nasi Kuning Porsi Cemilan,1 potong kecil,75.0,1.3,2.5,11.1,0.2,8.4,Makanan Pokok,Kunyit baik sebagai antiinflamasi alami
Nasi Liwet Sunda,1 porsi (150g),245,4.8,8.0,36.0,0.8,32,Makanan Pokok,"Gurih, perhatikan porsi santan"
Nasi Liwet Sunda (Porsi Kecil),1/2 porsi,122.5,2.4,4.0,18.0,0.4,16.0,Makanan Pokok,"Gurih, perhatikan porsi santan"
Nasi Liwet Sunda (Porsi Besar),1.5 porsi,367.5,7.2,12.0,54.0,1.2,48.0,Makanan Pokok,"Gurih, perhatikan porsi santan"
Nasi Liwet Sunda (1 Piring / Mangkok),1 piring,294.0,5.8,9.6,43.2,1.0,38.4,Makanan Pokok,"Gurih, perhatikan porsi santan"
Nasi Liwet Sunda Olahan Spesial,1 porsi spesial,318.5,6.2,10.4,46.8,1.0,41.6,Makanan Pokok,"Gurih, perhatikan porsi santan"
Nasi Liwet Sunda Porsi Cemilan,1 potong kecil,73.5,1.4,2.4,10.8,0.2,9.6,Makanan Pokok,"Gurih, perhatikan porsi santan"
Bubur Ayam,1 mangkuk (200g),210,7.0,6.0,32.0,0.9,40,Makanan Pokok,Sangat baik saat mual trimester 1
Bubur Ayam (Porsi Kecil),1/2 porsi,105.0,3.5,3.0,16.0,0.5,20.0,Makanan Pokok,Sangat baik saat mual trimester 1
Bubur Ayam (Porsi Besar),1.5 porsi,315.0,10.5,9.0,48.0,1.4,60.0,Makanan Pokok,Sangat baik saat mual trimester 1
Bubur Ayam (1 Piring / Mangkok),1 piring,252.0,8.4,7.2,38.4,1.1,48.0,Makanan Pokok,Sangat baik saat mual trimester 1
Bubur Ayam Olahan Spesial,1 porsi spesial,273.0,9.1,7.8,41.6,1.2,52.0,Makanan Pokok,Sangat baik saat mual trimester 1
Bubur Ayam Porsi Cemilan,1 potong kecil,63.0,2.1,1.8,9.6,0.3,12.0,Makanan Pokok,Sangat baik saat mual trimester 1
Bubur Manado (Tinutuan),1 mangkuk (200g),160,4.5,2.0,31.0,1.8,85,Makanan Pokok,Tinggi serat & aneka sayuran
Bubur Manado (Tinutuan) (Porsi Kecil),1/2 porsi,80.0,2.2,1.0,15.5,0.9,42.5,Makanan Pokok,Tinggi serat & aneka sayuran
Bubur Manado (Tinutuan) (Porsi Besar),1.5 porsi,240.0,6.8,3.0,46.5,2.7,127.5,Makanan Pokok,Tinggi serat & aneka sayuran
Bubur Manado (Tinutuan) (1 Piring / Mangkok),1 piring,192.0,5.4,2.4,37.2,2.2,102.0,Makanan Pokok,Tinggi serat & aneka sayuran
Bubur Manado (Tinutuan) Olahan Spesial,1 porsi spesial,208.0,5.9,2.6,40.3,2.3,110.5,Makanan Pokok,Tinggi serat & aneka sayuran
Bubur Manado (Tinutuan) Porsi Cemilan,1 potong kecil,48.0,1.3,0.6,9.3,0.5,25.5,Makanan Pokok,Tinggi serat & aneka sayuran
Singkong Rebus,1 potong (100g),146,1.2,0.3,34.0,0.7,33,Makanan Pokok,Karbohidrat kompleks bebas gluten
Singkong Rebus (Porsi Kecil),1/2 porsi,73.0,0.6,0.1,17.0,0.3,16.5,Makanan Pokok,Karbohidrat kompleks bebas gluten
Singkong Rebus (Porsi Besar),1.5 porsi,219.0,1.8,0.4,51.0,1.0,49.5,Makanan Pokok,Karbohidrat kompleks bebas gluten
Singkong Rebus (1 Piring / Mangkok),1 piring,175.2,1.4,0.4,40.8,0.8,39.6,Makanan Pokok,Karbohidrat kompleks bebas gluten
Singkong Rebus Olahan Spesial,1 porsi spesial,189.8,1.6,0.4,44.2,0.9,42.9,Makanan Pokok,Karbohidrat kompleks bebas gluten
Singkong Rebus Porsi Cemilan,1 potong kecil,43.8,0.4,0.1,10.2,0.2,9.9,Makanan Pokok,Karbohidrat kompleks bebas gluten
Ubi Jalar Rebus,1 buah (100g),119,1.8,0.4,27.5,0.8,30,Makanan Pokok,Kaya Vitamin A (Beta Karoten)
Ubi Jalar Rebus (Porsi Kecil),1/2 porsi,59.5,0.9,0.2,13.8,0.4,15.0,Makanan Pokok,Kaya Vitamin A (Beta Karoten)
Ubi Jalar Rebus (Porsi Besar),1.5 porsi,178.5,2.7,0.6,41.2,1.2,45.0,Makanan Pokok,Kaya Vitamin A (Beta Karoten)
Ubi Jalar Rebus (1 Piring / Mangkok),1 piring,142.8,2.2,0.5,33.0,1.0,36.0,Makanan Pokok,Kaya Vitamin A (Beta Karoten)
Ubi Jalar Rebus Olahan Spesial,1 porsi spesial,154.7,2.3,0.5,35.8,1.0,39.0,Makanan Pokok,Kaya Vitamin A (Beta Karoten)
Ubi Jalar Rebus Porsi Cemilan,1 potong kecil,35.7,0.5,0.1,8.2,0.2,9.0,Makanan Pokok,Kaya Vitamin A (Beta Karoten)
Kentang Rebus,1 buah (100g),87,1.9,0.1,20.0,0.7,11,Makanan Pokok,Ringan di lambung saat mual
Kentang Rebus (Porsi Kecil),1/2 porsi,43.5,0.9,0.1,10.0,0.3,5.5,Makanan Pokok,Ringan di lambung saat mual
Kentang Rebus (Porsi Besar),1.5 porsi,130.5,2.8,0.2,30.0,1.0,16.5,Makanan Pokok,Ringan di lambung saat mual
Kentang Rebus (1 Piring / Mangkok),1 piring,104.4,2.3,0.1,24.0,0.8,13.2,Makanan Pokok,Ringan di lambung saat mual
Kentang Rebus Olahan Spesial,1 porsi spesial,113.1,2.5,0.1,26.0,0.9,14.3,Makanan Pokok,Ringan di lambung saat mual
Kentang Rebus Porsi Cemilan,1 potong kecil,26.1,0.6,0.0,6.0,0.2,3.3,Makanan Pokok,Ringan di lambung saat mual
Daging Sapi Rendang,1 potong (60g),195,14.5,12.0,3.5,2.1,18,Lauk Pauk,Tinggi zat besi Heme pencegah anemia
Daging Sapi Rendang (Porsi Kecil),1/2 porsi,97.5,7.2,6.0,1.8,1.1,9.0,Lauk Pauk,Tinggi zat besi Heme pencegah anemia
Daging Sapi Rendang (Porsi Besar),1.5 porsi,292.5,21.8,18.0,5.2,3.2,27.0,Lauk Pauk,Tinggi zat besi Heme pencegah anemia
Daging Sapi Rendang (1 Piring / Mangkok),1 piring,234.0,17.4,14.4,4.2,2.5,21.6,Lauk Pauk,Tinggi zat besi Heme pencegah anemia
Daging Sapi Rendang Olahan Spesial,1 porsi spesial,253.5,18.9,15.6,4.5,2.7,23.4,Lauk Pauk,Tinggi zat besi Heme pencegah anemia
Daging Sapi Rendang Porsi Cemilan,1 potong kecil,58.5,4.3,3.6,1.1,0.6,5.4,Lauk Pauk,Tinggi zat besi Heme pencegah anemia
Daging Sapi Semur,1 potong (60g),140,13.0,6.5,5.0,1.8,15,Lauk Pauk,Kaya zat besi & protein
Daging Sapi Semur (Porsi Kecil),1/2 porsi,70.0,6.5,3.2,2.5,0.9,7.5,Lauk Pauk,Kaya zat besi & protein
Daging Sapi Semur (Porsi Besar),1.5 porsi,210.0,19.5,9.8,7.5,2.7,22.5,Lauk Pauk,Kaya zat besi & protein
Daging Sapi Semur (1 Piring / Mangkok),1 piring,168.0,15.6,7.8,6.0,2.2,18.0,Lauk Pauk,Kaya zat besi & protein
